w_visual,w_ocr,w_asr,MRR,R@1,R@5,R@20,R@50,R@100
0.5,0.1,0.4,0.21525299802204828,0.11428571428571428,0.3238095238095238,0.4857142857142857,0.6095238095238096,0.6428571428571429
0.0,0.6,0.4,0.21523613155547627,0.12380952380952381,0.3333333333333333,0.49523809523809526,0.5428571428571428,0.5428571428571428
0.2,0.2,0.6,0.21487059151486404,0.10952380952380952,0.3523809523809524,0.42857142857142855,0.5,0.5571428571428572
0.2,0.7,0.1,0.2122117943955525,0.15714285714285714,0.28095238095238095,0.3333333333333333,0.3619047619047619,0.42857142857142855
0.1,0.7,0.2,0.20921570296199027,0.1523809523809524,0.2714285714285714,0.3380952380952381,0.37142857142857144,0.43333333333333335
0.2,0.1,0.7,0.20733487017853788,0.11904761904761904,0.3142857142857143,0.36666666666666664,0.44761904761904764,0.5047619047619047
0.0,0.2,0.8,0.20723102344243682,0.11904761904761904,0.32857142857142857,0.37142857142857144,0.3952380952380952,0.4238095238095238
0.5,0.0,0.5,0.20698130715375584,0.09523809523809523,0.3380952380952381,0.5047619047619047,0.580952380952381,0.638095238095238
0.6,0.1,0.3,0.20633194647953984,0.1380952380952381,0.2761904761904762,0.35714285714285715,0.49047619047619045,0.6619047619047619
0.3,0.1,0.6,0.20403294902979655,0.1,0.3333333333333333,0.44761904761904764,0.5190476190476191,0.6190476190476191
0.1,0.8,0.1,0.20222417674774956,0.14761904761904762,0.2761904761904762,0.3142857142857143,0.32857142857142857,0.35714285714285715
0.2,0.0,0.8,0.20177746606516414,0.11904761904761904,0.3142857142857143,0.37142857142857144,0.4,0.43333333333333335
0.6,0.2,0.2,0.19967793307672363,0.12857142857142856,0.26666666666666666,0.3619047619047619,0.47619047619047616,0.580952380952381
0.0,0.1,0.9,0.19919598780060163,0.11428571428571428,0.30952380952380953,0.36666666666666664,0.3904761904761905,0.4095238095238095
0.3,0.7,0.0,0.19905449846756867,0.13333333333333333,0.2714285714285714,0.32857142857142857,0.3952380952380952,0.4666666666666667
0.6,0.3,0.1,0.1965569198519327,0.12857142857142856,0.2714285714285714,0.3523809523809524,0.4714285714285714,0.5761904761904761
0.7,0.1,0.2,0.1965156358745899,0.13333333333333333,0.2571428571428571,0.3333333333333333,0.4095238095238095,0.5285714285714286
0.7,0.2,0.1,0.19635863031765544,0.1380952380952381,0.2523809523809524,0.3238095238095238,0.41904761904761906,0.5142857142857142
0.4,0.0,0.6,0.19593741189292724,0.09523809523809523,0.30952380952380953,0.44285714285714284,0.5523809523809524,0.6238095238095238
0.1,0.9,0.0,0.19447772275397762,0.14761904761904762,0.2571428571428571,0.30952380952380953,0.3142857142857143,0.3333333333333333
0.6,0.4,0.0,0.1943033477818725,0.12857142857142856,0.24761904761904763,0.3333333333333333,0.48095238095238096,0.5619047619047619
0.2,0.8,0.0,0.19429198222328545,0.13333333333333333,0.2714285714285714,0.319047619047619,0.3238095238095238,0.35714285714285715
0.3,0.0,0.7,0.19380040089963615,0.1,0.3,0.3761904761904762,0.44761904761904764,0.5666666666666667
0.0,0.7,0.3,0.19316532451306634,0.12380952380952381,0.2714285714285714,0.3380952380952381,0.44285714285714284,0.5523809523809524
0.0,0.8,0.2,0.1850412961345626,0.12380952380952381,0.2619047619047619,0.319047619047619,0.3333333333333333,0.35714285714285715
0.0,0.0,1.0,0.18344698821357738,0.1,0.29523809523809524,0.3619047619047619,0.3904761904761905,0.4095238095238095
0.0,0.9,0.1,0.1812769927070883,0.11904761904761904,0.2571428571428571,0.3047619047619048,0.3142857142857143,0.3380952380952381
0.7,0.3,0.0,0.17873941297507207,0.11904761904761904,0.22857142857142856,0.3142857142857143,0.41904761904761906,0.5190476190476191
0.8,0.1,0.1,0.17747642641709,0.11428571428571428,0.23809523809523808,0.3142857142857143,0.4,0.4523809523809524
0.8,0.2,0.0,0.17525781348479041,0.12380952380952381,0.21904761904761905,0.30952380952380953,0.4,0.4523809523809524
0.0,1.0,0.0,0.1750473989184137,0.11904761904761904,0.24761904761904763,0.3047619047619048,0.30952380952380953,0.32857142857142857
0.6,0.0,0.4,0.17220919013169794,0.09523809523809523,0.2619047619047619,0.3761904761904762,0.5666666666666667,0.6428571428571429
0.7,0.0,0.3,0.16356146677923813,0.09047619047619047,0.2571428571428571,0.3380952380952381,0.42857142857142855,0.6190476190476191
0.9,0.1,0.0,0.16071294784937348,0.10476190476190476,0.21428571428571427,0.29523809523809524,0.38571428571428573,0.44761904761904764
0.8,0.0,0.2,0.15934092325268615,0.1,0.22380952380952382,0.32857142857142857,0.3952380952380952,0.4714285714285714
0.9,0.0,0.1,0.15004388804178037,0.09523809523809523,0.20476190476190476,0.3047619047619048,0.38571428571428573,0.4380952380952381
