set,query_id,channel,rr_V,rank_V,rr_O,rank_O,rr_A,rank_A
bench_kis,q_55e7beebeeb01a99,HTV Entertainment,0.5,2,6.724994788129039e-06,148699,0.3333333333333333,3
bench_kis,q_ea54f8953b8b632a,Báo Tuổi Trẻ,1.0,1,6.039012017633915e-06,165590,1.1161337128187958e-05,89595
bench_kis,q_92f8f49ddef0adcd,HTV Sports,0.07692307692307693,13,3.2123353678123996e-05,31130,0.02857142857142857,35
bench_kis,q_6f918c702204d542,HTV Giải Trí,0.5,2,0.3333333333333333,3,0.16666666666666666,6
bench_kis,q_bcd30b4216d7ca74,HTV Entertainment,1.0,1,1.6295934164425975e-05,61365,0.25,4
bench_kis,q_4d4eac1c7a21fa61,60 Giây Official,0.023255813953488372,43,4.8597949166545175e-05,20577,1.0,1
bench_kis,q_a1aa09f704b4c83d,HTV Giải Trí,0.006756756756756757,148,0.5,2,1.0,1
bench_kis,q_0df6e57b33e56326,HTV Entertainment,0.030303030303030304,33,6.756711103303356e-06,148001,0.3333333333333333,3
bench_kis,q_bac2afad58b66404,HTV Entertainment,0.3333333333333333,3,0.5,2,1.0285843593462318e-05,97221
bench_kis,q_0206c453f9f279c8,Báo Thanh Niên,0.14285714285714285,7,0.043478260869565216,23,0.125,8
bench_kis,q_6a5fc5938801ab91,Báo Tuổi Trẻ,1.0,1,1.3487086115044845e-05,74145,1.0,1
bench_kis,q_553ee264eded6868,HTV Entertainment,0.012987012987012988,77,0.012658227848101266,79,0.25,4
bench_kis,q_194c1d20e3aca350,60 Giây Official,0.037037037037037035,27,0.5,2,0.09090909090909091,11
bench_kis,q_806d650b572067a2,60 Giây Official,1.0,1,0.00013791201213625708,7251,0.00023485204321277596,4258
bench_kis,q_0b59fdf43d6d1cc9,HTV Entertainment,0.5,2,0.0019723865877712033,507,4.7156465151372254e-05,21206
bench_kis,q_ad1631fc8a794d71,HTV Entertainment,0.14285714285714285,7,0.0002455795677799607,4072,0.3333333333333333,3
bench_kis,q_6e171ab8f410e8c8,HTV Entertainment,0.5,2,1.3572940984852598e-05,73676,0.3333333333333333,3
bench_kis,q_9fe0761a2e18ada0,HTV Giải Trí,0.16666666666666666,6,0.00010679196924391286,9364,1.336255278208349e-05,74836
bench_kis,q_1e5cb90a9ceb301a,Báo Tuổi Trẻ,0.2,5,1.7732068445784202e-05,56395,3.1709791983764585e-05,31536
bench_kis,q_66b2eb0e1e5373c5,HTV Sports,0.14285714285714285,7,1.965833808409837e-05,50869,0.00037835792659856227,2643
bench_kis,q_3a2d02d06262260c,HTV Entertainment,0.005813953488372093,172,0.014084507042253521,71,1.0617740120192818e-05,94182
bench_kis,q_a4124c467be6166e,HTV Sports,0.00909090909090909,110,2.25998915205207e-05,44248,0.00010986596352450011,9102
bench_kis,q_832e762554990112,HTV Sports,1.0,1,1.9668390928938105e-05,50843,6.9615098122480805e-06,143647
bench_kis,q_644991e673c937e5,60 Giây Official,0.014492753623188406,69,0.0005238344683080147,1909,0.0007412898443291327,1349
bench_kis,q_94c9005f07f60629,HTV Giải Trí,0.25,4,7.062645667066883e-06,141590,2.209407657806942e-05,45261
gtv2,q_8403867d2b04aa70,60 Giây Official,1.0,1,4.5591319412783804e-05,21934,3.345600535296086e-05,29890
gtv2,q_77d6f68c2be166c5,60 Giây Official,0.5,2,0.5,2,0.00020279862096937742,4931
gtv2,q_738ce9de05b3f335,HTV Sports,0.0012706480304955528,787,0.0004752851711026616,2104,0.022727272727272728,44
gtv2,q_378d56d08e68f98f,HTV Sports,0.0004187604690117253,2388,9.832841691248771e-05,10170,0.3333333333333333,3
gtv2,q_7d1b8b0a148c4cbe,60 Giây Official,0.3333333333333333,3,0.5,2,0.5,2
gtv2,q_30b6237262d8d093,ViVU TV,0.05555555555555555,18,0.0006116207951070336,1635,0.01020408163265306,98
gtv2,q_3a96a5bf55e5e3a8,HTV Sports,1.0,1,0.00013109596224436288,7628,0.3333333333333333,3
gtv2,q_b74484d4b958b855,60 Giây Official,1.0,1,0.00022416498542927594,4461,0.3333333333333333,3
gtv2,q_cb515bd2f644082b,Báo Thanh Niên,0.00011876484560570071,8420,0.003289473684210526,304,2.2380877778026455e-05,44681
gtv2,q_434c2511a0e0365f,ViVU TV,0.030303030303030304,33,0.125,8,0.0022675736961451248,441
gtv2,q_64e37f03d3e13b43,HTV Giải Trí,1.0,1,1.0,1,0.1,10
gtv2,q_05e7828622293855,HTV Entertainment,0.017543859649122806,57,2.4356382590057724e-05,41057,0.5,2
gtv2,q_f0b379f340188d91,HTV Entertainment,0.04,25,5.623980653506552e-05,17781,3.582560097445635e-05,27913
gtv2,q_1221aca9f11638f1,Báo Tuổi Trẻ,0.2,5,1.0,1,0.0014184397163120568,705
gtv2,q_3a4eb222ccd33686,HTV Sports,0.008771929824561403,114,2.3498449102359245e-05,42556,3.865630677645058e-05,25869
gtv2,q_641667abb715293d,HTV Sports,0.005128205128205128,195,0.00021992522542335605,4547,7.139032661074424e-06,140075
gtv2,q_35927e484829cc1c,HTV Giải Trí,1.0,1,0.001447178002894356,691,0.25,4
gtv2,q_7ac5d1a2b1335301,HTV Giải Trí,0.013157894736842105,76,7.012721076031922e-06,142598,1.672073036150219e-05,59806
gtv2,q_7281585e9b1d26d4,HTV Entertainment,0.3333333333333333,3,0.3333333333333333,3,0.0024937655860349127,401
gtv2,q_f30ee5fb3b49b0ec,Báo Tuổi Trẻ,0.14285714285714285,7,0.2,5,0.5,2
gtv2,q_9af7c707ac576375,60 Giây Official,0.1,10,3.4063426099397074e-05,29357,1.0283833813245577e-05,97240
gtv2,q_9422b51e8302a5d4,HTV Entertainment,0.3333333333333333,3,1.0,1,0.08333333333333333,12
